GeneID,Source
DDB_G0267236,dictyBase
DDB_G0267240,dictyBase
DDB_G0267278,dictyBase
DDB_G0268582,dictyBase
DDB_G0268944,dictyBase
DDB_G0268474,dictyBase
DDB_G0270824,dictyBase
DDB_G0270842,dictyBase
DDB_G0271450,dictyBase
DDB_G0276647,dictyBase
DDB_G0270790,dictyBase
DDB_G0273323,dictyBase
DDB_G0276387,dictyBase
DDB_G0273345,dictyBase
DDB_G0281455,dictyBase
DDB_G0276975,dictyBase
DDB_G0276981,dictyBase
DDB_G0275941,dictyBase
DDB_G0277297,dictyBase
DDB_G0281529,dictyBase
DDB_G0279861,dictyBase
DDB_G0280523,dictyBase
DDB_G0281357,dictyBase
DDB_G0279153,dictyBase
DDB_G0279773,dictyBase
DDB_G0281941,dictyBase
DDB_G0283133,dictyBase
DDB_G0282659,dictyBase
DDB_G0289071,dictyBase
DDB_G0284305,dictyBase
DDB_G0286987,dictyBase
DDB_G0291692,dictyBase
DDB_G0292364,dictyBase
DDB_G0293160,dictyBase
DDB_G0293348,dictyBase
DDB_G0276197,dictyBase
DDB_G0267180,dictyBase
DDB_G0280031,dictyBase
DDB_G0267334,dictyBase
DDB_G0270770,dictyBase
DDB_G0273877,dictyBase
DDB_G0290953,dictyBase
DDB_G0272554,dictyBase
DDB_G0293892,dictyBase
DDB_G0276983,dictyBase
DDB_G0281491,dictyBase
DDB_G0292272,dictyBase
DDB_G0282561,dictyBase
DDB_G0293432,dictyBase
DDB_G0273901,dictyBase
DDB_G0294300,dictyBase
DDB_G0294370,dictyBase
DDB_G0294280,dictyBase
DDB_G0294338,dictyBase
DDB_G0294322,dictyBase
DDB_G0294324,dictyBase
DDB_G0294146,dictyBase
DDB_G0294164,dictyBase
DDB_G0294308,dictyBase
DDB_G0294244,dictyBase
DDB_G0294246,dictyBase
DDB_G0294358,dictyBase
DDB_G0294320,dictyBase
DDB_G0294340,dictyBase
DDB_G0294190,dictyBase
DDB_G0294176,dictyBase
DDB_G0294210,dictyBase
DDB_G0294212,dictyBase
DDB_G0294204,dictyBase
DDB_G0294250,dictyBase
DDB_G0294224,dictyBase
DDB_G0294228,dictyBase
DDB_G0294328,dictyBase
DDB_G0294168,dictyBase
DDB_G0294268,dictyBase
DDB_G0294372,dictyBase
DDB_G0294310,dictyBase
DDB_G0294346,dictyBase
DDB_G0294262,dictyBase
DDB_G0294266,dictyBase
DDB_G0294252,dictyBase
DDB_G0294264,dictyBase
DDB_G0294352,dictyBase
DDB_G0294326,dictyBase
DDB_G0294216,dictyBase
DDB_G0294374,dictyBase
DDB_G0294342,dictyBase
DDB_G0294248,dictyBase
DDB_G0294242,dictyBase
DDB_G0294218,dictyBase
DDB_G0294226,dictyBase
DDB_G0294230,dictyBase
DDB_G0294232,dictyBase
DDB_G0294144,dictyBase
DDB_G0294344,dictyBase
DDB_G0294256,dictyBase
DDB_G0294336,dictyBase
DDB_G0294180,dictyBase
DDB_G0294254,dictyBase
DDB_G0271006,dictyBase
DDB_G0277519,dictyBase
DDB_G0271440,dictyBase
DDB_G0267366,dictyBase
DDB_G0269098,dictyBase
DDB_G0270872,dictyBase
DDB_G0271004,dictyBase
DDB_G0277517,dictyBase
DDB_G0267368,dictyBase
DDB_G0284281,Predicted
DDB_G0272516,Predicted
DDB_G0273811,Predicted
DDB_G0291257,Predicted
DDB_G0278927,Predicted
DDB_G0277521,Predicted
DDB_G0268904,Predicted
DDB_G0287503,Predicted
DDB_G0288951,Predicted
DDB_G0280315,Predicted
DDB_G0270056,Predicted
DDB_G0280331,Predicted
DDB_G0275565,Predicted
DDB_G0277253,Predicted
DDB_G0293914,Predicted
DDB_G0288911,Predicted
DDB_G0285093,Predicted
DDB_G0282697,Predicted
DDB_G0267902,Predicted
DDB_G0276527,Predicted
DDB_G0270266,Predicted
DDB_G0270612,Predicted
DDB_G0271508,Predicted
DDB_G0286339,Predicted
DDB_G0272094,Predicted
DDB_G0269654,Predicted
DDB_G0271568,Predicted
DDB_G0275653,Predicted
DDB_G0271974,Predicted
DDB_G0288589,Predicted
DDB_G0274009,Predicted
DDB_G0290507,Predicted
DDB_G0284875,Predicted
DDB_G0284183,Predicted
DDB_G0267892,Predicted
DDB_G0278559,Predicted
DDB_G0273323,Predicted
DDB_G0273897,Predicted
DDB_G0270496,Predicted
DDB_G0276093,Predicted
DDB_G0291690,Predicted
DDB_G0279199,Predicted
DDB_G0270176,Predicted
DDB_G0279927,Predicted
DDB_G0287637,Predicted
DDB_G0294320,Predicted
DDB_G0271602,Predicted
DDB_G0287625,Predicted
DDB_G0284003,Predicted
DDB_G0272973,Predicted
DDB_G0267596,Predicted
DDB_G0292778,Predicted
DDB_G0292938,Predicted
DDB_G0268936,Predicted
DDB_G0271388,Predicted
DDB_G0268920,Predicted
DDB_G0275529,Predicted
DDB_G0270820,Predicted
DDB_G0287887,Predicted
DDB_G0280011,Predicted
DDB_G0283527,Predicted
DDB_G0277357,Predicted
DDB_G0267250,Predicted
DDB_G0285231,Predicted
DDB_G0291712,Predicted
DDB_G0292524,Predicted
DDB_G0286901,Predicted
DDB_G0287249,Predicted
DDB_G0284871,Predicted
DDB_G0285205,Predicted
DDB_G0292082,Predicted
DDB_G0283431,Predicted
DDB_G0284297,Predicted
DDB_G0282977,Predicted
DDB_G0294352,Predicted
DDB_G0270650,Predicted
DDB_G0269030,Predicted
DDB_G0277785,Predicted
DDB_G0284661,Predicted
DDB_G0294296,Predicted
DDB_G0277057,Predicted
DDB_G0292340,Predicted
DDB_G0274681,Predicted
DDB_G0287871,Predicted
DDB_G0287531,Predicted
DDB_G0290569,Predicted
DDB_G0275267,Predicted
DDB_G0294264,Predicted
DDB_G0276213,Predicted
DDB_G0276005,Predicted
DDB_G0273391,Predicted
DDB_G0272863,Predicted
DDB_G0268530,Predicted
DDB_G0276389,Predicted
DDB_G0275409,Predicted
DDB_G0282273,Predicted
DDB_G0267280,Predicted
DDB_G0278547,Predicted
DDB_G0284441,Predicted
DDB_G0272478,Predicted
DDB_G0290039,Predicted
DDB_G0273335,Predicted
DDB_G0273847,Predicted
DDB_G0289263,Predicted
DDB_G0275543,Predicted
DDB_G0284873,Predicted
DDB_G0269932,Predicted
DDB_G0281777,Predicted
DDB_G0274823,Predicted
DDB_G0279051,Predicted
DDB_G0276551,Predicted
DDB_G0294174,Predicted
DDB_G0278239,Predicted
DDB_G0278995,Predicted
DDB_G0280841,Predicted
DDB_G0283117,Predicted
DDB_G0279489,Predicted
DDB_G0268986,Predicted
DDB_G0294386,Predicted
DDB_G0291506,Predicted
DDB_G0270206,Predicted
DDB_G0290485,Predicted
DDB_G0268528,Predicted
DDB_G0284273,Predicted
DDB_G0267352,Predicted
DDB_G0281929,Predicted
DDB_G0285135,Predicted
DDB_G0270458,Predicted
DDB_G0272807,Predicted
DDB_G0293140,Predicted
DDB_G0294328,Predicted
DDB_G0275809,Predicted
DDB_G0274671,Predicted
DDB_G0271194,Predicted
DDB_G0292166,Predicted
DDB_G0282785,Predicted
DDB_G0277781,Predicted
DDB_G0294326,Predicted
DDB_G0291688,Predicted
DDB_G0284143,Predicted
DDB_G0292370,Predicted
DDB_G0277589,Predicted
DDB_G0293818,Predicted
DDB_G0269720,Predicted
DDB_G0282787,Predicted
DDB_G0278501,Predicted
DDB_G0272967,Predicted
DDB_G0294010,Predicted
DDB_G0282133,Predicted
DDB_G0280575,Predicted
DDB_G0278633,Predicted
DDB_G0293342,Predicted
DDB_G0274837,Predicted
DDB_G0267212,Predicted
